sample	biosample	type	run	experiment	spots	model
SC-1	SAMN33272386	genomic_IGH	SRR23445525	SRX19354801	15856	Sequel II
SC-1	SAMN33272386	airr_seq	SRR23446590	SRX19355879	2235597	Illumina MiSeq
W-76	SAMN33272476	genomic_IGH	SRR23445495	SRX19354831	5120	Sequel II
W-76	SAMN33272476	airr_seq	SRR24991639	SRX20747634	445552	Illumina MiSeq
W-76	SAMN33272476	airr_seq	SRR23446582	SRX19355887	1142465	Illumina MiSeq
W-103	SAMN33272408	genomic_IGH	SRR23445467	SRX19354859	17326	Sequel II
W-103	SAMN33272408	airr_seq	SRR23446577	SRX19355892	1097193	Illumina MiSeq
W-103	SAMN33272408	airr_seq	SRR24991632	SRX20747641	336045	Illumina MiSeq
SC-17	SAMN33272392	genomic_IGH	SRR23445425	SRX19354901	13444	Sequel II
SC-17	SAMN33272392	airr_seq	SRR23446566	SRX19355903	1349052	Illumina MiSeq
W-117	SAMN33272419	genomic_IGH	SRR23445455	SRX19354871	20182	Sequel II
W-117	SAMN33272419	airr_seq	SRR23446575	SRX19355894	1007693	Illumina MiSeq
W-117	SAMN33272419	airr_seq	SRR24991630	SRX20747643	285602	Illumina MiSeq
W-61	SAMN33272467	genomic_IGH	SRR23445504	SRX19354822	40426	Sequel II
W-61	SAMN33272467	airr_seq	SRR23446574	SRX19355895	915949	Illumina MiSeq
W-61	SAMN33272467	airr_seq	SRR24991647	SRX20747626	324824	Illumina MiSeq
W-79	SAMN33272477	genomic_IGH	SRR23445493	SRX19354833	14679	Sequel II
W-79	SAMN33272477	airr_seq	SRR23446581	SRX19355888	602286	Illumina MiSeq
W-79	SAMN33272477	airr_seq	SRR24991635	SRX20747638	624137	Illumina MiSeq
SC-13	SAMN33272388	genomic_IGH	SRR23445469	SRX19354857	12064	Sequel II
SC-13	SAMN33272388	airr_seq	SRR23446578	SRX19355891	1105811	Illumina MiSeq
W-84	SAMN33272481	genomic_IGH	SRR23445489	SRX19354837	56064	Sequel II
W-84	SAMN33272481	airr_seq	SRR23446573	SRX19355896	634554	Illumina MiSeq
W-84	SAMN33272481	airr_seq	SRR24991642	SRX20747631	396247	Illumina MiSeq
SC-16	SAMN33272391	genomic_IGH	SRR23445436	SRX19354890	27317	Sequel II
SC-16	SAMN33272391	airr_seq	SRR23446567	SRX19355902	1027067	Illumina MiSeq
